Product ID,Description,Brand,Size,Price,Serving Size,Servings Per Package,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Protein (g),Calcium (% DV),Iron (% DV),Nutritional Rating
0006456322677,Yummy Dino Buddies Dinosaur Shaped Chicken Breast Nuggets,Yummy,38 oz,9.79, ,14,170,9,1.5,20,360,13,,9,2,4,58
0002370005055,TysonÂ® Air Fried Perfectly Crispy Chicken Nuggets,Tyson,25 oz,6.99, ,8,,,,,,,,,,,
0007274580377,Perdue Simply Smart Organics Lightly Breaded Chicken Breast Nuggets,Perdue,24 oz,11.79,92 Gram,7,180,10,2,50,420,9,,12,,4,43
0002898910108,MorningStar Farms Meatless Chicken Nuggets Original,Morningstar Farms,10.5 oz bag,4.99,86 Gram,,180,8,1,,350,18,4,12,4,10,39
0007274500110,Perdue Original Breaded Chicken Breast Nuggets,Perdue,12 oz,4.99,84 Gram,,210,12,2.5,40,480,14,,12,2,6.11,44
0007274580423,Perdue Chicken Breast Nuggets,Perdue,29 oz,7.99,84 Gram,,210,12,2.5,40,420,17,,9,,6.11,
0002531700556,Applegate Natural Gluten-Free Chicken Nuggets,Applegate,8 oz,7.99,88 Gram,,170,9,1.5,35,350,10,,12,,4,43
0007274580656,Perdue Simply Smart Organics Gluten Free Breaded Chicken Breast Nuggets,Perdue,22 oz,11.79,75 Gram,8,170,8,1.5,30,380,18,,7,,2,44
0002531705519,Applegate Gluten-Free Chicken Nuggets Family Size Bag,Applegate,16 oz,14.99,84 Gram,,160,7,1,35,400,14,,11,,,45
